Year;Plot;Subplot;Plant;Seeds_GF;Fruit_GF;visits_GF;ID;homo_motif;hete_motif;Strength;StrengthIn;StrengthOut;Degree;DegreeIn;DegreeOut;PageRank;Hub;Authority;Katz;Multiplexity;Kcore
2020;1;E5;LEMA;708;12;3;Bombyliidae;1;0;154.063.714.063.714;0.540637140637141;1;6;3;3;0.0606576070172591;0.239582402323463;1,75E+04;1,27E+10;0.25;6
2020;1;E5;LEMA;708;12;1;Brassicogethes_sp.;28;0;154.063.714.063.714;0.540637140637141;1;6;3;3;0.0606576070172591;0.239582402323463;1,75E+04;1,27E+10;0.25;6
2020;1;E5;LEMA;708;12;2;Psilothrix_viridicoerulea;26;0;154.063.714.063.714;0.540637140637141;1;6;3;3;0.0606576070172591;0.239582402323463;1,75E+04;1,27E+10;0.25;6
2020;1;E5;PUPA;46;2;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;1;E6;BEMA;208;52;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;1;F1;BEMA;216;54;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;1;F1;CETE;1887;17;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;1;F1;LEMA;224;4;6;Brassicogethes_sp.;58;0;104.382.284.382.284;0.0438228438228438;1;4;2;2;0.0592281717344089;0.885159317778479;1,35E+04;1,41E+10;0.25;4
2020;1;F1;LEMA;224;4;1;Psilothrix_viridicoerulea;26;0;104.382.284.382.284;0.0438228438228438;1;4;2;2;0.0592281717344089;0.885159317778479;1,35E+04;1,41E+10;0.25;4
2020;1;F1;SOAS;770;14;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;1;F2;BEMA;468;117;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;1;F2;CETE;7215;65;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;1;F2;LEMA;720;12;8;Brassicogethes_sp.;58;0;155.236.985.236.985;0.552369852369852;1;6;3;3;0.073515856880639;0.820339598933111;1,56E+04;1,28E+09;0.25;4
2020;1;F2;LEMA;720;12;1;Cylindromyia_sp.;0;0;155.236.985.236.985;0.552369852369852;1;6;3;3;0.073515856880639;0.820339598933111;1,56E+04;1,28E+09;0.25;4
2020;1;F2;LEMA;720;12;1;Psilothrix_viridicoerulea;26;0;155.236.985.236.985;0.552369852369852;1;6;3;3;0.073515856880639;0.820339598933111;1,56E+04;1,28E+09;0.25;4
2020;1;F3;BEMA;280;70;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;1;F3;CETE;1665;15;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;1;F3;CHFU;144;4.5;1;Ulidiidae;6;0;107.692.307.692.308;0.0769230769230769;1;2;1;1;0.0485054690830929;0;8,32E+05;1,05E+09;0.25;2
2020;1;F3;LEMA;1089;18;1;Bombyliidae;0;0;144.234.654.234.654;0.442346542346542;1;8;4;4;0.0690511196190596;0.492442397747681;2,02E+04;1,24E+10;0.25;6
2020;1;F3;LEMA;1089;18;4;Brassicogethes_sp.;37;0;144.234.654.234.654;0.442346542346542;1;8;4;4;0.0690511196190596;0.492442397747681;2,02E+04;1,24E+10;0.25;6
2020;1;F3;LEMA;1089;18;2;Episyrphus_balteatus;1;0;144.234.654.234.654;0.442346542346542;1;8;4;4;0.0690511196190596;0.492442397747681;2,02E+04;1,24E+10;0.25;6
2020;1;F3;LEMA;1089;18;2;Psilothrix_viridicoerulea;28;0;144.234.654.234.654;0.442346542346542;1;8;4;4;0.0690511196190596;0.492442397747681;2,02E+04;1,24E+10;0.25;6
2020;1;F4;BEMA;328;82;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;1;F4;CETE;1887;17;1;Tabanidae;1;0;1.5;0.5;1;2;1;1;0.0582205276411548;2,45E+08;2,29E+08;0.0291441155814432;0.25;2
2020;1;F4;CHFU;32;1;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;1;F4;LEMA;1704;24;9;Brassicogethes_sp.;58;0;307.482.517.482.517;207.482.517.482.517;1;8;4;4;0.115453583255272;0.497105728583096;2,70E+03;1,02E+10;0.25;4
2020;1;F4;LEMA;1704;24;6;Musca_sp.;1;0;307.482.517.482.517;207.482.517.482.517;1;8;4;4;0.115453583255272;0.497105728583096;2,70E+03;1,02E+10;0.25;4
2020;1;F4;LEMA;1704;24;2;Psilothrix_viridicoerulea;26;0;307.482.517.482.517;207.482.517.482.517;1;8;4;4;0.115453583255272;0.497105728583096;2,70E+03;1,02E+10;0.25;4
2020;1;F4;LEMA;1704;24;2;Red_black_fly_6.19.5;0;0;307.482.517.482.517;207.482.517.482.517;1;8;4;4;0.115453583255272;0.497105728583096;2,70E+03;1,02E+10;0.25;4
2020;1;F5;BEMA;240;60;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;1;F5;CETE;2997;27;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;1;F5;CHFU;32;1;2;Ulidiidae;6;0;115.384.615.384.615;0.153846153846154;1;2;1;1;0.0627618317265028;0;1,66E+06;1,05E+09;0.25;2
2020;1;F5;LEMA;245;5;1;Brassicogethes_sp.;28;0;132.700.077.700.078;0.327000777000777;1;6;3;3;0.0623516455627788;0.298586348245213;5,04E+06;0.00219175183741122;0.25;4
2020;1;F5;LEMA;245;5;4;Psilothrix_viridicoerulea;26;0;132.700.077.700.078;0.327000777000777;1;6;3;3;0.0623516455627788;0.298586348245213;5,04E+06;0.00219175183741122;0.25;4
