"Plant_Simple";"Group";"Plot";"Subplot";"visits";"neigh.visits"
"HOMA";"Flies";9;"F2";0;0
"LEMA";"Flies";9;"F2";0;2
"ME";"Flies";9;"F2";0;0
"PUPA";"Flies";9;"F2";0;0
"RAPE";"Flies";9;"F2";0;0
"CHFU";"Butterflies";9;"F2";0;0
"CHMI";"Butterflies";9;"F2";0;0
"HOMA";"Butterflies";9;"F2";0;0
"LEMA";"Butterflies";9;"F2";0;0
"ME";"Butterflies";9;"F2";0;0
"PUPA";"Butterflies";9;"F2";0;0
"RAPE";"Butterflies";9;"F2";0;0
"CHFU";"Bees";1;"F2";0;0
"CHMI";"Bees";1;"F2";0;0
"HOMA";"Bees";1;"F2";0;0
"LEMA";"Bees";1;"F2";0;0
"ME";"Bees";1;"F2";0;0
"PUPA";"Bees";1;"F2";0;0
"RAPE";"Bees";1;"F2";0;0
"CHFU";"Beetles";1;"F2";0;0
"CHMI";"Beetles";1;"F2";0;0
"HOMA";"Beetles";1;"F2";1;1
"LEMA";"Beetles";1;"F2";1;12
"ME";"Beetles";1;"F2";0;0
"PUPA";"Beetles";1;"F2";0;0
"RAPE";"Beetles";1;"F2";0;0
"CHFU";"Flies";1;"F2";0;1
"CHMI";"Flies";1;"F2";0;0
"HOMA";"Flies";1;"F2";0;0
"LEMA";"Flies";1;"F2";1;8
"ME";"Flies";1;"F2";0;0
"PUPA";"Flies";1;"F2";0;0
"RAPE";"Flies";1;"F2";0;0
"CHFU";"Butterflies";1;"F2";0;0
"CHMI";"Butterflies";1;"F2";0;0
"HOMA";"Butterflies";1;"F2";0;0
"LEMA";"Butterflies";1;"F2";0;0
"ME";"Butterflies";1;"F2";0;0
"PUPA";"Butterflies";1;"F2";0;0
"RAPE";"Butterflies";1;"F2";0;0
"CHFU";"Bees";2;"F2";0;0
"CHMI";"Bees";2;"F2";0;0
"HOMA";"Bees";2;"F2";0;0
"LEMA";"Bees";2;"F2";0;1
"ME";"Bees";2;"F2";0;0
"PUPA";"Bees";2;"F2";0;0
"RAPE";"Bees";2;"F2";0;0
"CHFU";"Beetles";2;"F2";0;0
"CHMI";"Beetles";2;"F2";0;0
"HOMA";"Beetles";2;"F2";0;0
"LEMA";"Beetles";2;"F2";0;7
"ME";"Beetles";2;"F2";0;0
"PUPA";"Beetles";2;"F2";0;0
"RAPE";"Beetles";2;"F2";0;0
"CHFU";"Flies";2;"F2";0;0
"CHMI";"Flies";2;"F2";0;0
"HOMA";"Flies";2;"F2";0;0
"LEMA";"Flies";2;"F2";0;1
"ME";"Flies";2;"F2";0;1
"PUPA";"Flies";2;"F2";0;0
"RAPE";"Flies";2;"F2";0;0
"CHFU";"Butterflies";2;"F2";0;0
"CHMI";"Butterflies";2;"F2";0;0
