"Day";"Month";"plot";"subplot";"vis";"Plant";"individuals";"seed";"fruit";"flowers";"x_coor2";"y_coor2";"flowers2";"visits.flower";"seed.indv";"unique_id";"Bee";"Beetle";"Butterfly";"Fly";"<NA>";"distance";"n_neighbors";"n_neighbors_total";"distance_total";"n_neighbors_inter";"n_neighbors_intra"
1;6;8;"E5";1;"LEMA";17;638;11;0;278,5;274,5;0;Inf;7018;"8_E5_LEMA_Beetle";0;1;0;0;0;"a";6812;6812;"a";6812;888
1;6;9;"B2";4;"LEMA";10;696;12;6;314;286;6;0,666666666666667;8352;"9_B2_LEMA_Beetle";0;4;0;0;0;"a";2551;2551;"a";2551;229
1;6;9;"B3";3;"LEMA";6;870;15;9;314;287,5;9;0,333333333333333;13050;"9_B3_LEMA_Beetle";0;3;0;0;0;"a";2551;2551;"a";2551;229
1;6;9;"B4";8;"LEMA";9;232;4;7;314;289;7;1,14285714285714;928;"9_B4_LEMA_Beetle";0;8;0;0;0;"a";2551;2551;"a";2551;229
1;6;9;"C2";4;"LEMA";17;464;8;2;315,5;286;2;2;3712;"9_C2_LEMA_Beetle";0;4;0;0;0;"a";2551;2551;"a";2551;229
1;6;9;"C3";4;"LEMA";7;290;5;0;315,5;287,5;0;Inf;1450;"9_C3_LEMA_Beetle";0;4;0;0;0;"a";2551;2551;"a";2551;229
1;6;9;"C4";6;"LEMA";12;406;7;4;315,5;289;4;1,5;2842;"9_C4_LEMA_Beetle";0;6;0;0;0;"a";2551;2551;"a";2551;229
1;6;9;"D2";4;"LEMA";9;270;9;0;317;286;0;Inf;2430;"9_D2_LEMA_Beetle";0;4;0;0;0;"a";2551;2551;"a";2551;229
1;6;9;"D3";6;"LEMA";4;232;4;0;317;287,5;0;Inf;928;"9_D3_LEMA_Beetle";0;6;0;0;0;"a";2551;2551;"a";2551;229
1;6;9;"D5";1;"LEMA";8;720;15;6;317;290,5;6;0,166666666666667;10800;"9_D5_LEMA_Beetle";0;1;0;0;0;"a";2551;2551;"a";2551;229
1;6;9;"E3";2;"LEMA";3;174;3;0;318,5;287,5;0;Inf;522;"9_E3_LEMA_Beetle";0;2;0;0;0;"a";2551;2551;"a";2551;229
1;6;9;"E4";2;"LEMA";7;580;10;0;318,5;289;0;Inf;5800;"9_E4_LEMA_Beetle";0;2;0;0;0;"a";2551;2551;"a";2551;229
1;6;9;"E5";3;"LEMA";3;290;5;1;318,5;290,5;1;3;1450;"9_E5_LEMA_Beetle";0;3;0;0;0;"a";2551;2551;"a";2551;229
5;3;1;"B4";1;"CHFU";4;608;19;7;2;5;7;0,142857142857143;11552;"1_B4_CHFU_Fly";0;0;0;1;0;"a";2704;2704;"a";2704;32
5;3;1;"E3";3;"CHFU";1;25;1;4;6,5;3,5;4;0,75;25;"1_E3_CHFU_Fly";0;0;0;3;0;"a";2704;2704;"a";2704;32
5;3;2;"B2";2;"CHFU";4;64;2;4;35;28;4;0,5;128;"2_B2_CHFU_Fly";0;0;0;2;0;"a";4334;4334;"a";4334;42
5;3;2;"B3";1;"CHFU";1;126;6;7;35;29,5;7;0,142857142857143;756;"2_B3_CHFU_Fly";0;0;0;1;0;"a";4334;4334;"a";4334;42
5;3;2;"C2";2;"CHFU";7;64;2;11;36,5;28;11;0,181818181818182;128;"2_C2_CHFU_Fly";0;0;0;2;0;"a";4334;4334;"a";4334;42
5;3;2;"D4";1;"CHFU";1;202;2;5;38;31;5;0,2;404;"2_D4_CHFU_Fly";0;0;0;1;0;"a";4334;4334;"a";4334;42
5;3;2;"E3";1;"CHFU";1;384;12;8;39,5;29,5;8;0,125;4608;"2_E3_CHFU_Fly";0;0;0;1;0;"a";4334;4334;"a";4334;42
5;3;3;"B3";1;"CHFU";1;64;2;3;80;57,5;3;0,333333333333333;128;"3_B3_CHFU_Fly";0;0;0;1;0;"a";6726;6726;"a";6726;48
5;3;3;"C3";1;"CHFU";14;429;33;10;81,5;57,5;10;0,1;14157;"3_C3_CHFU_Fly";0;0;0;1;0;"a";6726;6726;"a";6726;48
5;3;3;"D4";1;"CHFU";3;416;13;6;83;59;6;0,166666666666667;5408;"3_D4_CHFU_Fly";0;0;0;1;0;"a";6726;6726;"a";6726;48
5;3;7;"E4";1;"CHFU";2;102;6;3;239,5;292;3;0,333333333333333;612;"7_E4_CHFU_Fly";0;0;0;1;0;"a";7455;7455;"a";7455;112
5;3;8;"B2";1;"CHFU";12;395;5;35;274;270;35;0,0285714285714286;1975;"8_B2_CHFU_Fly";0;0;0;1;0;"a";7142;7142;"a";7142;558
5;3;8;"B4";1;"CHFU";13;60;3;32;274;273;32;0,03125;180;"8_B4_CHFU_Fly";0;0;0;1;0;"a";7142;7142;"a";7142;558
5;3;8;"B5";1;"CHFU";8;16;1;8;274;274,5;8;0,125;16;"8_B5_CHFU_Fly";0;0;0;1;0;"a";7142;7142;"a";7142;558
5;3;8;"C2";5;"CHFU";18;228;6;18;275,5;270;18;0,277777777777778;1368;"8_C2_CHFU_Fly";0;0;0;5;0;"a";7142;7142;"a";7142;558
5;3;8;"C3";2;"CHFU";4;30;4;3;275,5;271,5;3;0,666666666666667;120;"8_C3_CHFU_Fly";0;0;0;2;0;"a";7142;7142;"a";7142;558
5;3;8;"C4";1;"CHFU";3;13;1;0;275,5;273;0;Inf;13;"8_C4_CHFU_Beetle";0;1;0;0;0;"a";7142;7142;"a";7142;558
5;3;8;"C5";2;"CHFU";11;60;4;16;275,5;274,5;16;0,125;240;"8_C5_CHFU_Fly";0;0;0;2;0;"a";7142;7142;"a";7142;558
5;3;8;"D3";1;"CHFU";5;10;1;8;277;271,5;8;0,125;10;"8_D3_CHFU_Fly";0;0;0;1;0;"a";7142;7142;"a";7142;558
5;3;8;"D4";1;"CHFU";12;9;1;3;277;273;3;0,333333333333333;9;"8_D4_CHFU_Fly";0;0;0;1;0;"a";7142;7142;"a";7142;558
5;3;8;"D5";1;"CHFU";14;112,5;5;13;277;274,5;13;0,0769230769230769;562,5;"8_D5_CHFU_Fly";0;0;0;1;0;"a";7142;7142;"a";7142;558
5;3;8;"E3";1;"CHFU";17;288;9;13;278,5;271,5;13;0,0769230769230769;2592;"8_E3_CHFU_Fly";0;0;0;1;0;"a";7142;7142;"a";7142;558
5;3;9;"B2";2;"CHFU";4;56;2;30;314;286;30;0,0666666666666667;112;"9_B2_CHFU_Beetle";0;2;0;0;0;"a";2383;2383;"a";2383;397
5;3;9;"B2";1;"CHFU";4;56;2;30;314;286;30;0,0333333333333333;112;"9_B2_CHFU_Fly";0;0;0;1;0;"a";2383;2383;"a";2383;397
5;3;9;"B3";1;"CHFU";1;32;1;21;314;287,5;21;0,0476190476190476;32;"9_B3_CHFU_Beetle";0;1;0;0;0;"a";2383;2383;"a";2383;397
5;3;9;"C2";4;"CHFU";14;464;8;30;315,5;286;30;0,133333333333333;3712;"9_C2_CHFU_Beetle";0;4;0;0;0;"a";2383;2383;"a";2383;397
5;3;9;"C3";3;"CHFU";17;62;2;36;315,5;287,5;36;0,0833333333333333;124;"9_C3_CHFU_Beetle";0;3;0;0;0;"a";2383;2383;"a";2383;397
